City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
130,Portland,45.5234,-122.6762,52.39,87,90,6.91,US,2021-11-27 16:03:03,overcast clouds
131,Vanimo,-2.6741,141.3028,77.83,89,100,4.23,PG,2021-11-27 16:05:53,overcast clouds
132,Mae Ramat,16.984,98.5166,70.25,95,46,2.71,TH,2021-11-27 16:05:53,scattered clouds
133,Oksfjord,70.2396,22.3479,23.92,74,59,9.64,NO,2021-11-27 16:05:53,broken clouds
134,Coquimbo,-29.9533,-71.3436,64.13,72,75,11.5,CL,2021-11-27 16:05:54,broken clouds
135,Mandera,3.9366,41.867,80.04,65,100,3.96,KE,2021-11-27 16:05:54,overcast clouds
136,Acapulco,16.8634,-99.8901,81.81,68,64,1.77,MX,2021-11-27 16:02:01,broken clouds
137,Makakilo City,21.3469,-158.0858,71.92,82,40,3.44,US,2021-11-27 16:06:55,scattered clouds
138,Anadyr,64.75,177.4833,-13.52,86,100,3.38,RU,2021-11-27 16:06:55,overcast clouds
139,Champerico,14.3,-91.9167,88.34,63,8,0.74,GT,2021-11-27 16:06:55,clear sky
140,Port Hardy,50.6996,-127.4199,42.8,94,100,27.2,CA,2021-11-27 16:03:09,moderate rain
141,Bingol,38.8847,40.4939,45.55,79,100,1.14,TR,2021-11-27 16:06:56,overcast clouds
142,Muskegon,43.3,-86.1334,30.22,80,90,13.8,US,2021-11-27 16:04:13,light snow
143,Duki,30.1541,68.5728,56.71,20,0,4.25,PK,2021-11-27 16:06:56,clear sky
144,Codajas,-3.8367,-62.0569,83.89,80,87,0.85,BR,2021-11-27 16:06:56,overcast clouds
145,Sao Filipe,14.8961,-24.4956,79.45,71,40,10.74,CV,2021-11-27 16:06:42,scattered clouds
146,Chara,56.9064,118.2631,-7.38,77,5,2.93,RU,2021-11-27 16:06:57,clear sky
147,Yarega,63.4354,53.5765,17.01,90,99,8.79,RU,2021-11-27 16:06:57,overcast clouds
148,Santa Rosa,14.3122,121.1114,79.25,82,84,10.36,PH,2021-11-27 16:06:57,broken clouds
149,Oktyabrskiy,54.4815,53.471,16.16,88,39,6.89,RU,2021-11-27 16:06:58,scattered clouds
150,Brae,60.3964,-1.353,35.51,56,95,20.92,GB,2021-11-27 16:06:58,overcast clouds
151,Tazovskiy,67.4667,78.7,-11.99,97,100,6.67,RU,2021-11-27 16:03:22,overcast clouds
152,Parnamirim,-5.9156,-35.2628,88.14,48,32,11.86,BR,2021-11-27 16:06:58,scattered clouds
153,Bandraboua,-12.7044,45.1223,80.28,74,98,2.64,YT,2021-11-27 16:06:59,light rain
154,Lavrentiya,65.5833,-171.0,-10.57,91,4,8.37,RU,2021-11-27 16:06:59,clear sky
155,Airai,-8.9266,125.4092,62.37,94,94,0.81,TL,2021-11-27 16:06:59,overcast clouds
156,Bredasdorp,-34.5322,20.0403,72.45,49,62,11.74,ZA,2021-11-27 16:06:36,broken clouds
157,Cienfuegos,22.1461,-80.4356,80.74,65,40,5.75,CU,2021-11-27 16:07:00,scattered clouds
158,Mount Isa,-20.7333,139.5,76.77,31,0,11.5,AU,2021-11-27 16:07:00,clear sky
159,Nioki,-2.7167,17.6833,83.08,63,41,0.85,CD,2021-11-27 16:07:01,scattered clouds
160,Merauke,-8.4667,140.3333,81.54,75,100,5.84,ID,2021-11-27 16:07:01,overcast clouds
161,Dingle,10.9995,122.6711,76.24,94,64,7.27,PH,2021-11-27 16:03:39,broken clouds
162,Alcudia,39.8532,3.1214,55.35,68,85,16.84,ES,2021-11-27 16:07:01,light rain
163,Ugoofaaru,5.6667,73.0,80.89,77,100,8.1,MV,2021-11-27 16:07:02,overcast clouds
164,Pevek,69.7008,170.3133,-19.19,91,9,4.99,RU,2021-11-27 16:07:02,clear sky
165,Vaitape,-16.5167,-151.75,80.98,73,19,15.61,PF,2021-11-27 16:07:02,few clouds
166,Clyde River,70.4692,-68.5914,-7.87,98,9,4.07,CA,2021-11-27 16:07:03,clear sky
167,Puerto Escondido,15.85,-97.0667,83.95,41,8,2.33,MX,2021-11-27 16:07:03,clear sky
168,Lethem,3.3803,-59.7968,92.32,47,19,8.99,GY,2021-11-27 16:07:03,few clouds
